Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
147,Akagami no Shirayuki-hime,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/258717l.jpg
148,Soul Eater,Shounen,Manga,Finished,25,https://cdn.myanimelist.net/images/manga/1/159808l.jpg
149,Dungeon Meshi,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/148949l.jpg
150,Hanazakari no Kimitachi e,Shoujo,Manga,Finished,23,https://cdn.myanimelist.net/images/manga/3/262555l.jpg
151,Shuumatsu no Walküre,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/209957l.jpg
152,Tonari no Kaibutsu-kun,Shoujo,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/2/59207l.jpg
153,Mars,Shoujo,Manga,Finished,15,https://cdn.myanimelist.net/images/manga/1/191262l.jpg
154,Ao Ashi,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/185325l.jpg
155,Bishoujo Senshi Sailor Moon,Shoujo,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/4/260613l.jpg
156,Kusuriya no Hitorigoto,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/201154l.jpg
157,Gin no Saji,Shounen,Manga,Finished,15,https://cdn.myanimelist.net/images/manga/1/231500l.jpg
158,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Shounen,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/3/269909l.jpg
159,Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/219336l.jpg
160,No.6,Shoujo,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/184479l.jpg
161,Shingeki no Kyojin: Kuinaki Sentaku,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/121101l.jpg
162,"Ohayou, Ibarahime",Shoujo,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/164641l.jpg
163,Barakamon,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/216099l.jpg
164,Sakamichi no Apollon,Josei,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/3/254787l.jpg
165,Kuroko no Basket,Shounen,Manga,Finished,30,https://cdn.myanimelist.net/images/manga/2/244299l.jpg
166,Planetes,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/170572l.jpg
167,Konjiki no Gash!!,Shounen,Manga,Finished,33,https://cdn.myanimelist.net/images/manga/3/172209l.jpg
168,Aria,Shounen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/2/202644l.jpg
